scenario_subdir,user_id,method,sample_interval_min,interpolation_method,codebook_size,tolerance_km,num_points,predictability,entropy_rate_bits,actual_distortion_km,reconstruction_rmse_km
tol_10km_int_30min,abboip,direct_ctw,30,linear,,10.0,1007.0,0.8266367507742705,1.1520331124918286,4.462922482181061,4.587563206937016
tol_10km_int_30min,abboip,direct_ctw,30,nearest,,10.0,114.0,0.8179282960766622,1.0246187503016753,4.241277720884006,4.412563396111438
tol_10km_int_30min,abboip,markov_order_1,30,linear,,10.0,1007.0,0.7841960513318327,1.3582695595059542,4.462922482181061,4.587563206937016
tol_10km_int_30min,abboip,markov_order_1,30,nearest,,10.0,114.0,0.6173791408132081,1.6583933776505553,4.241277720884006,4.412563396111438
tol_10km_int_30min,abboip,markov_order_2,30,linear,,10.0,1007.0,0.7908579118369383,1.326975740098026,4.462922482181061,4.587563206937016
tol_10km_int_30min,abboip,markov_order_2,30,nearest,,10.0,114.0,0.6753512647636649,1.507429690023833,4.241277720884006,4.412563396111438
tol_10km_int_30min,abboip,vq_ctw,30,linear,256.0,10.0,1007.0,1.0,0.0,5.477731141959463,5.477731141959463
tol_10km_int_30min,abboip,vq_ctw,30,nearest,256.0,10.0,114.0,1.0,0.0,7.89848934707143,7.89848934707143
tol_10km_int_30min,abboip,vq_ctw,30,linear,512.0,10.0,1007.0,1.0,0.0,5.7350132038759325,5.7350132038759325
tol_10km_int_30min,abboip,vq_ctw,30,nearest,512.0,10.0,114.0,1.0,0.0,7.909620880455918,7.909620880455918
tol_10km_int_30min,abboip,vq_ctw,30,linear,1024.0,10.0,1007.0,1.0,0.0,5.49201729566361,5.49201729566361
tol_10km_int_30min,abboip,vq_ctw,30,nearest,1024.0,10.0,114.0,1.0,0.0,7.242116837976491,7.242116837976491
tol_10km_int_30min,abcoij,direct_ctw,30,linear,,10.0,574.0,0.9799860288903296,0.1732403727632974,5.163456206064291,5.240247877438817
tol_10km_int_30min,abcoij,markov_order_1,30,linear,,10.0,574.0,0.9755089170930245,0.2047808321519778,5.163456206064291,5.240247877438817
tol_10km_int_30min,abcoij,markov_order_2,30,linear,,10.0,574.0,0.9772204310274452,0.1928795099939102,5.163456206064291,5.240247877438817
tol_10km_int_30min,abcoij,vq_ctw,30,linear,256.0,10.0,574.0,1.0,0.0,4.776319635747678,4.776319635747678
tol_10km_int_30min,abcoij,vq_ctw,30,linear,512.0,10.0,574.0,1.0,0.0,5.243340685195198,5.243340685195198
tol_10km_int_30min,abcoij,vq_ctw,30,linear,1024.0,10.0,574.0,1.0,0.0,4.562283171113047,4.562283171113047
tol_10km_int_30min,abdrem,direct_ctw,30,linear,,10.0,1003.0,0.7848626195913071,1.6117380960741026,4.198810436669403,4.372635243814736
tol_10km_int_30min,abdrem,direct_ctw,30,nearest,,10.0,139.0,0.8044626150515354,1.0635727428030386,4.159246780512494,4.319334055936183
tol_10km_int_30min,abdrem,markov_order_1,30,linear,,10.0,1003.0,0.7155517294591173,1.9992343994295296,4.198810436669403,4.372635243814736
tol_10km_int_30min,abdrem,markov_order_1,30,nearest,,10.0,139.0,0.6086650808940968,1.7215310520148108,4.159246780512494,4.319334055936183
tol_10km_int_30min,abdrem,markov_order_2,30,linear,,10.0,1003.0,0.6935835483014436,2.1146592746034965,4.198810436669403,4.372635243814736
tol_10km_int_30min,abdrem,markov_order_2,30,nearest,,10.0,139.0,0.6391329847431719,1.6073122177596664,4.159246780512494,4.319334055936183
tol_10km_int_30min,abdrem,vq_ctw,30,linear,256.0,10.0,1003.0,1.0,0.0,8.943795821034517,8.943795821034517
tol_10km_int_30min,abdrem,vq_ctw,30,nearest,256.0,10.0,139.0,1.0,0.0,8.83646335828869,8.83646335828869
tol_10km_int_30min,abdrem,vq_ctw,30,linear,512.0,10.0,1003.0,1.0,0.0,8.227747340070547,8.227747340070547
tol_10km_int_30min,abdrem,vq_ctw,30,nearest,512.0,10.0,139.0,1.0,0.0,9.275871659776689,9.275871659776689
tol_10km_int_30min,abdrem,vq_ctw,30,linear,1024.0,10.0,1003.0,1.0,0.0,8.51004286326048,8.51004286326048
tol_10km_int_30min,abdrem,vq_ctw,30,nearest,1024.0,10.0,139.0,1.0,0.0,8.726340545130073,8.726340545130073
tol_10km_int_30min,abgibo,direct_ctw,30,linear,,10.0,1007.0,0.7940679012093399,1.4718936517304373,4.305275452519697,4.481241814546662
tol_10km_int_30min,abgibo,direct_ctw,30,nearest,,10.0,36.0,0.819671284232115,1.0414530568751108,4.064605691831833,4.303184595414284
tol_10km_int_30min,abgibo,markov_order_1,30,linear,,10.0,1007.0,0.7414130387182641,1.7516311424101112,4.305275452519697,4.481241814546662
tol_10km_int_30min,abgibo,markov_order_1,30,nearest,,10.0,36.0,0.6473901993592116,1.6415968583776264,4.064605691831833,4.303184595414284
tol_10km_int_30min,abgibo,markov_order_2,30,linear,,10.0,1007.0,0.7242722765072421,1.8380375696515727,4.305275452519697,4.481241814546662
tol_10km_int_30min,abgibo,markov_order_2,30,nearest,,10.0,36.0,0.6518728649240675,1.628638567302429,4.064605691831833,4.303184595414284
tol_10km_int_30min,abgibo,vq_ctw,30,linear,256.0,10.0,1007.0,1.0,0.0,7.032028367086768,7.032028367086768
tol_10km_int_30min,abgibo,vq_ctw,30,nearest,256.0,10.0,36.0,1.0,0.0,7.4930158521157955,7.4930158521157955
tol_10km_int_30min,abgibo,vq_ctw,30,linear,512.0,10.0,1007.0,1.0,0.0,6.839159832741789,6.839159832741789
tol_10km_int_30min,abgibo,vq_ctw,30,nearest,512.0,10.0,36.0,1.0,0.0,8.224919023665937,8.224919023665937
tol_10km_int_30min,abgibo,vq_ctw,30,linear,1024.0,10.0,1007.0,1.0,0.0,6.850489576971195,6.850489576971195
tol_10km_int_30min,abgibo,vq_ctw,30,nearest,1024.0,10.0,36.0,1.0,0.0,7.933165816200039,7.933165816200039
tol_10km_int_30min,abjool,direct_ctw,30,linear,,10.0,1007.0,0.9512767466940272,0.4271182325505578,4.723452505043112,4.816681847498002
